data,ora,Lat N,Long E,prof (km),Md
05/04/16,04.00.05.53,37.793,15.155,8.61,2.0
09/16/25,19.49.11.91,37.721,15.148,1.7,0.9
10/16/05,09.21.35.10,37.735,15.054,3.4,1.7
10/02/27,00.36.09.69,37.75,15.013,0.98,3.1
08/09/27,13.19.34.53,37.753,15.006,1.4,1.5
09/16/25,08.42.40.78,37.754,15.114,5.76,3.1
07/01/14,05.13.12.43,37.702,14.95,-1.22,2.4
10/16/03,19.24.46.06,37.749,15.085,5.38,1.0
10/12/08,19.08.36.38,37.719,14.991,0.33,1.4
06/16/02,12.51.13.03,37.742,15.089,4.72,1.7
11/12/08,08.50.38.41,37.746,15.024,-0.08,1.1
01/01/09,04.31.39.45,37.702,15.073,4.05,3.1
07/06/29,22.23.20.89,37.746,15.07,3.04,1.5
08/12/24,09.50.58.51,37.748,15.001,0.77,1.3
11/12/12,04.43.48.07,37.715,15.015,3.44,1.5
12/11/24,12.31.17.09,37.808,15.102,2.08,1.7
10/06/13,19.46.35.59,37.739,15.09,5.89,1.5
09/16/25,17.38.18.90,37.752,15.118,4.31,1.5
07/09/02,19.30.16.43,37.752,15.006,1.03,1.7
07/01/13,08.29.52.25,37.712,15.037,1.15,2.9
08/05/14,22.02.25.51,37.812,15.088,1.08,3.0
08/03/13,05.11.50.63,37.742,15.067,4.98,2.3
03/10/19,23.10.24.46,37.704,15.021,2.26,1.2
09/02/09,06.30.09.78,37.747,15.063,5.37,2.3
01/04/19,05.58.14.98,37.752,15.088,6.7,1.5
04/15/20,01.07.42.82,37.806,15.113,0.11,3.6
03/09/28,01.15.12.38,37.76,15.105,4.69,1.3
09/16/25,11.18.52.23,37.757,15.122,4.25,1.4
11/02/01,15.32.03.08,37.771,15.01,2.48,3.1
10/12/03,22.11.39.28,37.735,14.925,5.35,2.2
02/10/23,18.38.09.49,37.663,14.908,1.44,1.8
11/12/26,00.54.41.22,37.75,14.918,9.46,1.6
04/15/16,12.17.38.39,37.741,15.064,5.59,2.1
03/00/23,12.24.38.87,37.667,14.957,3.8,2.1
08/02/31,21.18.51.15,37.702,14.982,9.17,3.0
08/10/22,01.08.38.73,37.756,15.005,1.25,1.5
04/10/02,21.28.39.53,37.807,15.061,-0.41,2.5
07/09/22,07.00.04.71,37.689,15.102,2.24,1.6
07/01/13,22.36.29.27,37.748,15.067,3.45,2.0
11/05/13,14.41.15.58,37.676,15.04,3.68,1.7
07/01/13,00.19.50.83,37.722,15.011,0.63,2.5
05/13/04,00.37.22.00,37.699,15.044,2.01,1.4
10/16/18,02.51.29.05,37.641,15.052,5.4,1.7
11/12/27,23.45.25.20,37.726,15.125,6.23,1.2
08/01/28,18.21.38.28,37.701,14.986,1.64,1.4
03/04/08,01.07.24.61,37.69,15.073,5.53,1.7
09/06/29,07.03.36.64,37.744,15.06,5.32,1.5
09/04/28,20.40.43.49,37.754,15.104,8.12,1.6
02/07/19,10.05.54.30,37.708,15.064,3.56,2.0
07/01/13,12.33.26.44,37.693,15.03,-0.52,2.7
11/02/24,13.56.23.78,37.692,15.081,3.8,2.7
01/16/26,00.36.09.41,37.687,15.089,4.29,1.0
08/16/26,14.50.26.14,37.753,15.023,3.6,1.3
08/04/11,10.42.09.98,37.746,15.048,2.3,1.6
07/03/01,08.31.22.99,37.71,15.077,4.95,2.3
06/05/23,02.43.54.88,37.723,15.069,2.98,1.3
10/05/13,19.19.35.95,37.761,15.079,4.62,2.5
08/06/25,05.23.11.46,37.752,15.097,6.02,1.5
11/10/15,21.34.23.28,37.699,14.975,0.82,1.2
09/00/06,12.34.22.34,37.714,15.05,4.21,2.0
12/02/01,01.28.51.97,37.709,15.061,3.88,2.2
10/02/27,00.32.38.93,37.729,14.996,1.97,2.9
02/01/24,01.14.13.84,37.677,14.926,-0.39,2.9
11/07/18,12.37.11.77,37.699,15.085,3.92,1.2
01/11/07,04.13.55.61,37.746,15.046,3.94,1.1
12/09/13,03.36.30.24,37.809,15.047,-0.13,1.8
02/16/25,17.03.05.69,37.686,15.136,7.26,1.7
02/06/28,18.31.30.38,37.734,15.072,3.59,1.4
07/07/04,04.40.25.59,37.712,14.897,7.67,1.6
05/07/28,01.21.42.20,37.759,14.822,3.48,1.8
12/16/08,12.52.10.16,37.805,15.050,-1.56,1.4
08/04/19,04.46.27.87,37.728,15.099,6.84,1.9
05/12/12,10.13.23.72,37.744,15.052,4.3,1.6
03/09/25,22.55.54.33,37.726,15.098,5.4,1.4
06/12/28,02.42.25.64,37.719,15.1,5.88,2.2
06/14/06,21.51.04.65,37.799,15.223,5.52,1.2
08/07/23,03.08.10.01,37.715,15.066,3.36,1.0
07/01/13,04.18.54.30,37.706,14.946,-1.58,2.3
01/02/01,13.16.08.49,37.75,14.998,-0.39,1.8
10/15/06,21.59.22.68,37.735,15.052,3.71,1.3
04/08/25,00.13.26.41,37.677,15.036,6.95,1.2
09/07/10,01.02.22.35,37.673,15.083,2.35,1.6
08/05/24,12.52.14.81,37.719,15.1,6.35,1.3
04/01/08,21.08.48.59,37.724,14.966,5.85,2.7
04/06/29,04.52.20.82,37.718,15.109,7.01,1.7
05/10/18,19.44.35.31,37.756,15.004,2.03,0.9
06/12/19,04.28.43.33,37.736,15.118,9.39,2.0
05/10/02,01.56.23.13,37.761,15.132,6.1,1.4
07/01/15,13.37.53.95,37.718,14.996,0.38,2.5
03/09/14,12.04.50.66,37.728,15.096,5.06,2.9
10/06/05,21.41.05.36,37.745,15.048,1.9,1.1
08/09/15,15.28.05.43,37.683,14.928,-0.14,2.0
