data,ora,Lat N,Long E,prof (km),Md
07/06/22,10.15.18.26,37.749,15.04,-1.17,1.5
07/01/17,02.40.08.27,37.713,15.008,-1.16,3.4
10/10/20,14.24.06.51,37.681,14.927,-1.16,2.5
02/01/03,21.27.18.13,37.788,15.058,-1.15,2.2
07/01/15,01.07.41.52,37.718,15.011,-1.15,2.4
04/05/23,09.00.50.79,37.781,15.102,-1.14,2.8
10/02/27,01.36.13.24,37.766,15.017,-1.13,2.4
10/02/27,08.04.32.96,37.772,15.019,-1.12,2.8
07/13/08,19.01.38.64,37.673,15.203,-1.11,1.1
08/02/04,17.37.02.28,37.746,14.996,-1.1,2.2
02/08/15,08.22.35.23,37.811,15.129,-1.09,2.5
08/09/11,14.49.09.71,37.686,14.928,-1.09,2.0
07/01/13,00.31.16.41,37.728,15.02,-1.08,2.2
07/01/14,21.55.16.63,37.697,14.999,-1.07,2.8
08/16/28,03.43.16.08,37.8,15.033,-1.07,1.2
08/09/28,22.08.11.82,37.732,15.132,-1.06,1.4
04/10/29,16.05.50.60,37.703,15.127,-1.06,1.8
08/02/21,08.06.57.72,37.749,15.005,-1.04,1.4
04/09/20,20.16.57.13,37.694,14.918,-1.04,2.6
11/15/10,14.04.57.18,37.812,15.056,-1.03,1.4
07/01/16,09.24.34.01,37.71,15.014,-1.01,3.1
05/08/01,21.18.18.58,37.822,15.054,-1.0,2.2
01/01/30,01.57.55.35,37.803,15.054,-0.98,1.8
12/12/14,21.28.12.85,37.721,14.962,-0.98,1.6
01/12/17,16.19.02.02,37.722,15.02,-0.97,1.1
02/01/13,22.56.21.80,37.758,15.004,-0.96,1.5
07/01/16,00.55.00.93,37.719,15.,-0.96,2.7
07/01/16,22.17.43.27,37.712,15.007,-0.96,.0
11/07/14,12.37.09.81,37.811,15.053,-0.96,1.9
05/08/13,13.26.49.09,37.771,15.003,-0.96,2.9
08/09/16,11.31.47.83,37.677,14.926,-0.96,1.7
01/10/19,22.32.51.20,37.805,15.051,-0.95,1.0
11/16/21,02.24.17.66,37.803,15.051,-0.93,0.8
07/01/17,05.33.00.67,37.716,15.005,-0.92,3.7
10/02/27,01.37.11.66,37.756,14.998,-0.91,2.4
07/01/17,15.22.34.33,37.698,14.993,-0.9,3.0
04/05/23,08.03.12.50,37.784,15.112,-0.9,3.0
05/08/13,22.34.20.75,37.815,15.064,-0.9,2.3
09/11/16,03.50.08.43,37.657,15.11,-0.9,1.0
11/15/04,04.46.30.31,37.747,15.008,-0.9,1.4
01/12/02,15.58.27.01,37.64,15.118,-0.89,1.5
07/01/16,17.03.51.13,37.712,15.006,-0.88,3.2
10/10/24,21.01.28.93,37.748,15.003,-0.87,1.0
07/01/15,03.15.30.40,37.668,14.977,-0.86,2.4
07/01/16,06.45.19.06,37.691,15.016,-0.86,3.2
07/01/15,19.26.04.69,37.72,15.004,-0.85,2.5
07/01/15,15.23.41.80,37.725,15.009,-0.84,2.4
07/15/17,12.10.26.43,37.802,15.035,-0.84,1.3
02/01/09,04.38.23.30,37.8,15.033,-0.83,1.5
05/08/08,09.42.35.79,37.835,15.056,-0.82,1.7
04/10/04,23.07.35.53,37.803,15.046,-0.82,1.8
06/04/01,11.03.00.28,37.82,15.077,-0.81,2.3
08/06/29,10.24.14.95,37.802,15.14,-0.81,1.8
05/07/20,03.25.19.14,37.668,15.222,-0.81,1.4
08/02/03,11.35.25.75,37.747,14.998,-0.79,1.8
10/16/21,11.46.42.21,37.803,15.049,-0.79,0.9
05/08/28,02.12.41.25,37.809,15.114,-0.78,2.2
04/11/23,06.52.47.66,37.804,15.055,-0.78,1.5
02/01/09,04.38.53.07,37.798,15.033,-0.77,1.6
07/01/13,04.24.05.02,37.696,14.999,-0.76,2.4
07/01/24,21.58.17.48,37.632,15.132,-0.76,2.7
03/02/10,16.38.02.21,37.685,14.9,-0.75,1.7
12/09/26,04.12.14.31,37.7,14.921,-0.75,1.2
04/10/02,20.23.46.22,37.824,15.04,-0.75,2.6
07/01/16,19.26.43.91,37.727,15.015,-0.74,3.0
10/01/09,23.40.58.52,37.757,14.912,-0.74,1.8
11/09/19,09.24.31.56,37.803,15.044,-0.74,1.2
11/15/23,06.38.34.13,37.804,15.050,-0.74,1.8
07/01/15,14.43.57.61,37.722,15.003,-0.73,2.4
01/10/25,03.26.37.01,37.819,15.059,-0.72,1.8
01/01/04,11.19.55.55,37.544,14.906,-0.7,2.5
07/01/13,04.12.24.60,37.733,14.988,-0.7,2.4
04/02/10,00.58.34.87,37.808,15.128,-0.7,2.7
08/06/25,23.18.31.23,37.811,15.135,-0.7,2.1
09/09/18,15.55.54.06,37.805,15.057,-0.7,1.7
03/10/10,10.43.06.58,37.804,15.043,-0.69,1.3
08/12/09,00.02.40.96,37.802,15.064,-0.69,1.2
